Benchmark,nbIterations,NbIndividus,Gain,Temps
601,50,25,92904.74699999999,67.668
602,50,25,94624.17199999998,56.964
603,50,25,88978.183,63.491
604,50,25,96261.401,63.608000000000004
605,50,25,96182.977,66.21900000000001
606,50,25,101512.11600000002,66.84700000000001
607,50,25,100332.28899999999,56.314
608,50,25,90796.96800000001,65.386
609,50,25,99977.53099999999,63.378
610,50,25,95398.204,66.33500000000001
611,50,25,90671.201,64.263
612,50,25,96508.22499999999,69.759
613,50,25,89900.33899999999,64.618
614,50,25,89693.425,66.894
615,50,25,95196.73700000001,61.28
616,50,25,96081.46700000002,60.306000000000004
617,50,25,94328.99,66.477
618,50,25,95509.25,60.177
619,50,25,96589.739,47.501
620,50,25,95855.25500000002,68.916
621,50,25,91905.88799999999,65.225
622,50,25,90862.77000000002,64.66
623,50,25,91226.33299999998,66.505
624,50,25,93195.656,63.101
625,50,25,91269.77899999998,65.181
626,50,25,92928.327,63.513
627,50,25,95909.73400000001,71.308
628,50,25,91165.24499999998,70.083
629,50,25,96998.47,63.317
630,50,25,91969.883,65.036
631,50,25,100139.666,61.878
632,50,25,94620.88299999999,43.461
632,50,25,94620.88299999999,43.461
