Benchmark,nbIterations,NbIndividus,Gain,Temps
601,50,12,93479.621,27.712
602,50,12,92439.804,27.94
603,50,12,85098.92700000001,26.579
604,50,12,93210.488,28.233
605,50,12,93453.76400000001,27.612000000000002
606,50,12,88127.513,27.779
607,50,12,92064.54600000002,25.41
608,50,12,92755.023,22.989
609,50,12,93590.06300000001,29.579
610,50,12,96223.177,28.193
611,50,12,85853.12299999999,26.167
612,50,12,88758.78799999999,26.366
613,50,12,85894.452,26.693
614,50,12,90932.057,26.648
615,50,12,97924.211,27.812
616,50,12,89695.29800000001,25.725
617,50,12,92740.936,24.696
618,50,12,90675.46900000001,27.150000000000002
619,50,12,91313.79400000001,22.817
620,50,12,88670.74399999999,25.526
621,50,12,90872.07499999998,26.338
623,50,12,99191.476,27.557000000000002
624,50,12,90324.12899999999,9.403
624,50,12,90324.12899999999,9.403
601,50,20,92698.921,1.575
601,50,20,92698.921,1.575
